Speed,Distance,Throttle,Brake,DRS,RPM
104,2007.338333333332,0,True,8,7005
101,2008.067777777776,0,True,8,6923
99,2013.952777777776,0,False,8,6841
97,2014.1144444444428,0,False,8,6663
96,2020.3544444444428,0,False,8,6485
92,2025.465555555554,0,False,8,6370
90,2026.615555555554,2,False,8,6385
89,2030.422777777776,4,False,8,6401
88,2032.5249999999985,16,False,8,6601
88,2038.880555555554,28,False,8,6802
88,2040.2005555555545,41,False,8,7003
92,2044.953888888888,44,False,8,7316
96,2047.4605555555545,48,False,8,7630
101,2051.949444444443,54,False,8,7696
100,2052.6716666666653,36,False,8,7518
99,2060.9216666666653,18,False,8,7341
98,2062.9361111111098,0,True,8,7164
95,2067.131944444443,0,True,8,6341
91,2068.294722222221,0,True,8,6125
87,2073.9497222222208,0,False,8,5909
83,2078.560833333332,0,False,8,5543
82,2079.153055555554,0,False,8,5473
81,2086.8030555555542,0,False,8,5404
81,2088.468055555554,1,False,8,5335
77,2093.301944444443,13,False,8,5565
74,2096.87861111111,26,False,8,5795
76,2100.256388888888,26,False,8,6075
79,2100.3880555555543,33,False,8,6286
82,2107.676944444443,41,False,8,6498
85,2110.3686111111097,49,False,8,6710
87,2112.930277777776,55,False,8,6990
90,2115.280277777776,62,False,8,7270
94,2120.136944444442,68,False,8,7840
98,2122.723055555554,74,False,8,8410
106,2127.5813888888874,80,False,8,9080
115,2132.532777777776,87,False,8,9750
119,2134.0202777777763,91,False,8,9860
124,2137.9813888888875,96,False,8,9971
129,2142.460555555554,96,False,8,10151
134,2143.7633333333315,96,False,8,10332
139,2148.58972222222,98,False,8,10743
144,2151.58972222222,100,False,8,11155
149,2155.107777777776,100,False,8,11471
154,2161.7383333333314,100,False,8,11787
154,2162.807777777776,66,False,8,11487
154,2173.074444444442,33,False,8,11187
154,2177.1383333333315,0,True,8,10888
142,2186.604999999998,0,True,8,9637
130,2189.6744444444425,0,True,8,8957
119,2198.7647222222204,0,True,8,8277
114,2200.221388888887,0,True,8,7962
109,2206.276944444442,0,True,8,7647
105,2208.435277777776,0,True,8,7332
103,2213.013055555553,0,True,8,7332
98,2216.4430555555527,0,True,8,6713
93,2219.388055555553,0,True,8,6095
89,2221.514166666664,0,True,8,5968
86,2226.1486111111085,0,False,8,5842
84,2228.155277777775,0,False,8,5790
82,2230.751944444442,1,False,8,5738
78,2235.0852777777754,6,False,8,5994
78,2235.215277777776,16,False,8,6026
78,2238.551944444442,27,False,8,6059
79,2241.755833333331,33,False,8,6221
80,2242.9558333333307,39,False,8,6383
83,2247.705277777775,41,False,8,6527
86,2248.517499999997,43,False,8,6672
87,2251.5383333333307,43,False,8,6714
88,2252.369444444442,44,False,8,6757
93,2256.502777777775,52,False,8,7457
98,2257.7549999999974,61,False,8,7780
103,2265.5944444444417,71,False,8,8103
107,2265.772777777775,76,False,8,8173
111,2271.7544444444416,82,False,8,8243
116,2275.1699999999973,91,False,8,8914
121,2278.3294444444414,100,False,8,9585
131,2284.151666666664,100,False,8,10193
134,2284.3749999999973,100,False,8,10382
138,2289.741666666664,100,False,8,10572
142,2293.4494444444417,100,False,8,10762
153,2303.649444444441,100,False,8,11904
162,2303.919444444441,100,False,8,11310
171,2320.7344444444416,100,False,8,10717
175,2322.9705555555524,100,False,8,11008
180,2332.6705555555527,100,False,8,11300
186,2337.113888888886,100,False,8,11497
192,2345.3805555555527,100,False,8,11694
196,2355.452777777776,100,False,8,11350
200,2366.563888888886,100,False,8,11006
205,2367.4180555555527,100,False,8,10663
210,2381.70972222222,100,False,8,10926
215,2386.188888888886,100,False,8,11189
218,2396.180555555553,100,False,8,11352
221,2400.78472222222,100,False,8,11516
