Speed,Distance,Throttle,Brake,DRS,RPM
281,1642.3722222222227,99,False,12,11496
286,1658.7377777777783,99,False,12,11635
292,1671.2288888888895,99,False,12,11775
294,1674.9855555555562,99,False,12,11501
296,1690.9366666666674,99,False,12,11227
298,1698.055555555556,99,False,12,11010
300,1710.8888888888894,99,False,12,10793
302,1719.7811111111118,99,False,12,10813
304,1731.096666666667,99,False,12,10834
305,1743.4661111111116,99,False,12,10861
307,1748.0711111111118,99,False,12,10889
308,1770.8288888888894,99,False,12,10961
310,1775.4788888888895,99,False,12,11033
312,1792.8988888888894,99,False,12,11128
314,1802.057222222223,99,False,12,11182
316,1817.4183333333333,99,False,12,11236
317,1819.619722222223,99,False,12,11273
318,1845.678055555556,99,False,12,11310
318,1851.4197222222228,99,False,12,11335
319,1869.141944444445,99,False,12,11360
320,1874.030833333334,99,False,12,11386
321,1894.0933333333344,99,False,12,11332
322,1895.4350000000009,99,False,12,11279
297,1910.697500000001,50,False,12,10700
273,1923.9683333333344,1,True,8,10121
247,1939.4058333333344,1,True,8,9281
222,1940.330833333334,2,True,8,8441
209,1949.9100000000008,1,True,8,8119
197,1954.0141666666675,0,True,8,7797
178,1971.121944444445,0,True,8,8001
159,1971.7402777777784,0,True,8,8205
153,1980.2402777777784,0,True,8,8727
140,1988.2513888888896,0,True,8,8924
128,1993.7269444444453,1,True,8,9122
123,1999.398611111112,1,True,8,9421
118,2001.824166666668,1,True,8,9720
110,2006.7130555555564,1,True,8,9292
107,2006.8913888888897,0,True,8,9184
104,2013.2469444444453,0,True,8,9076
101,2013.639722222223,0,True,8,8969
98,2017.614166666668,0,True,8,8667
95,2021.8363888888896,0,True,8,8365
93,2022.1980555555565,0,True,8,8064
90,2026.1730555555564,1,False,8,7802
89,2026.8405555555564,12,False,8,7756
88,2030.727222222223,23,False,8,7710
87,2032.9988888888893,35,False,8,7665
88,2036.0788888888897,41,False,8,7956
89,2038.897222222223,48,False,8,8248
92,2041.606111111112,50,False,8,8515
96,2048.539444444445,52,False,8,8782
100,2051.706111111112,55,False,8,9050
101,2055.8022222222226,27,False,8,8864
103,2059.6361111111114,0,True,8,8679
99,2060.901111111112,0,True,8,8144
96,2066.0744444444445,0,True,8,7609
89,2071.661666666667,0,True,8,7306
82,2073.802777777778,0,True,8,7004
79,2078.762222222222,0,True,8,6691
76,2081.591111111112,0,True,8,6378
74,2083.77,7,True,8,6278
72,2087.37,15,True,8,6179
70,2089.606111111111,23,False,8,6080
70,2094.758888888889,31,False,8,6553
70,2095.8283333333334,39,False,8,7027
77,2102.672777777778,51,False,8,7195
79,2102.7825000000003,53,False,8,7413
82,2108.135277777778,55,False,8,7632
89,2110.731111111111,62,False,8,8260
97,2116.524166666667,70,False,8,8889
99,2117.761666666667,72,False,8,9356
102,2121.0200000000004,74,False,8,9824
108,2129.5700000000006,74,False,8,9396
115,2130.6880555555563,75,False,8,8969
125,2135.7227777777784,87,False,8,9702
135,2146.7852777777784,99,False,8,10436
141,2147.8036111111114,99,False,8,10932
148,2153.3125000000005,99,False,8,11429
157,2159.6797222222226,56,False,8,11704
166,2169.5475,13,True,8,11979
158,2170.688611111111,8,True,8,11327
150,2184.8552777777777,4,True,8,10675
143,2189.383611111112,0,True,8,10023
132,2194.7369444444444,0,True,8,9370
122,2201.514722222222,0,True,8,8718
112,2203.1947222222225,0,True,8,8066
108,2205.7747222222224,0,True,8,7845
105,2210.266388888889,0,True,8,7624
101,2212.118055555556,0,True,8,7311
98,2216.473611111112,0,True,8,6999
95,2221.0388888888897,0,True,8,6687
93,2222.7438888888896,0,True,8,6486
91,2226.131111111112,0,True,8,6285
88,2227.744444444445,0,True,8,6224
85,2229.9638888888894,0,False,8,6163
83,2233.791111111112,5,False,8,6086
82,2234.565555555556,11,False,8,6009
80,2238.1211111111115,31,False,8,6709
80,2242.565555555556,40,False,8,6287
82,2243.6133333333337,43,False,8,6462
84,2248.28,46,False,8,6637
87,2250.0683333333336,50,False,8,6813
93,2253.3233333333337,54,False,8,7270
100,2260.934444444445,59,False,8,7727
101,2263.3472222222226,65,False,8,8048
103,2267.753333333334,71,False,8,8370
108,2271.5333333333338,76,False,8,8788
114,2275.143333333334,81,False,8,9207
128,2283.712222222223,87,False,8,10324
136,2284.656666666667,93,False,8,11249
144,2294.8566666666675,100,False,8,12175
150,2302.5650000000005,99,False,8,11911
156,2304.9483333333337,99,False,8,11647
161,2309.6441666666674,99,False,8,11128
166,2314.024722222223,99,False,8,10610
170,2320.871944444445,99,False,8,10903
175,2325.4900000000007,99,False,8,11197
179,2329.716388888889,99,False,8,11523
184,2338.9163888888897,99,False,8,11849
189,2343.903888888889,99,False,8,12176
194,2353.873333333333,99,False,8,11616
200,2354.706666666667,99,False,8,11056
213,2376.006666666667,99,False,8,11357
215,2377.499722222223,99,False,8,11457
217,2385.637222222223,99,False,8,11557
221,2387.233333333334,99,False,8,11793
226,2400.6677777777786,99,False,8,12030
228,2401.0477777777787,99,False,8,11619
231,2416.0627777777786,99,False,8,11208
236,2429.17388888889,99,False,8,10945
239,2432.2277777777786,99,False,8,11007
242,2442.5800000000004,99,False,8,11069
244,2448.4088888888896,99,False,8,11223
247,2466.2477777777785,99,False,8,11377
250,2469.9977777777785,99,False,8,11532
252,2483.0177777777785,63,False,8,11479
255,2489.676111111112,27,True,8,11427
249,2500.7427777777784,12,True,8,11303
236,2502.447222222223,9,True,8,11162
224,2521.113888888889,6,True,8,11021
212,2525.471666666668,3,True,8,10880
205,2534.525833333334,1,True,8,10647
199,2537.068611111112,0,True,8,10418
194,2549.678611111112,0,True,8,10189
187,2560.067500000001,0,True,8,9841
185,2561.403611111112,20,True,8,9806
183,2578.686944444445,40,True,8,9771
181,2582.4075000000007,60,False,8,9736
184,2593.958611111112,69,False,8,10004
188,2603.045277777778,79,False,8,10273
193,2611.623055555556,99,False,8,10487
198,2611.953055555556,99,False,8,10709
203,2629.9975000000004,99,False,8,10932
209,2636.6158333333337,100,False,8,11155
210,2642.799166666667,88,False,8,11281
212,2648.334722222223,76,False,8,11407
213,2659.339722222223,80,False,8,11560
215,2665.013333333334,85,False,8,11714
219,2675.0508333333337,92,False,8,11683
223,2684.6522222222225,99,False,8,11652
224,2687.452222222222,99,False,8,11512
226,2694.6716666666666,99,False,8,11372
228,2702.588333333333,99,False,8,10978
231,2704.8341666666665,99,False,8,10584
234,2712.9591666666665,99,False,8,10791
237,2717.896666666666,99,False,8,10998
238,2723.5161111111106,91,False,8,11075
240,2733.849444444444,83,False,8,11153
241,2735.523055555555,81,False,8,11191
242,2751.6563888888886,79,False,8,11229
243,2758.0688888888885,77,False,8,11268
244,2774.3355555555554,76,False,8,11230
245,2780.1202777777776,87,False,8,11316
246,2798.911944444444,99,False,8,11403
247,2802.068055555555,99,False,8,11473
248,2815.845833333333,99,False,8,11544
250,2820.984722222221,99,False,8,11615
252,2832.1847222222214,99,False,8,11716
254,2841.0747222222217,99,False,8,11747
256,2849.1813888888883,99,False,8,11779
251,2855.1775,57,False,8,11535
247,2868.488055555555,15,True,8,11291
237,2874.149722222221,8,True,8,10680
227,2881.338055555555,1,True,8,10070
211,2893.060277777777,1,True,8,10493
205,2893.401944444444,1,True,8,10428
200,2901.9574999999995,1,True,8,10363
195,2909.865833333333,0,True,8,10142
190,2912.7158333333327,0,True,8,9921
189,2923.530833333333,0,True,8,9708
188,2925.3063888888883,0,False,8,9495
183,2931.6605555555548,10,False,8,9418
178,2933.341666666666,21,False,8,9342
175,2941.119444444444,37,False,8,9531
174,2943.342777777777,47,False,8,9572
174,2956.5861111111103,57,False,8,9613
174,2956.8761111111103,67,False,8,9652
174,2966.252777777777,78,False,8,9692
177,2971.4644444444434,76,False,8,9630
180,2976.164444444444,75,False,8,9569
182,2984.253333333332,99,False,8,10016
186,2984.563333333332,99,False,8,10148
190,2991.9522222222213,99,False,8,10280
195,2997.043888888888,99,False,8,10413
203,3010.5772222222213,99,False,8,10968
208,3010.923888888888,99,False,8,11312
214,3031.967222222221,100,False,8,11657
216,3034.727222222221,99,False,8,11695
218,3046.4749999999985,99,False,8,11733
222,3051.7783333333323,99,False,8,11103
227,3061.5519444444435,99,False,8,10473
230,3073.371388888888,99,False,8,10615
233,3086.3158333333326,99,False,8,10757
236,3087.299166666666,99,False,8,10899
239,3103.564444444444,99,False,8,11086
242,3108.6061111111107,99,False,8,11273
